site_name_id,site_name,site_area_id,site_area,date_time,day,month,year,hour,minute,enterococci_value
99550,Dromana Beach,1282.0,Dromana,03/12/2013 07:25,Tuesday,December,2013,7,25,20
99550,Dromana Beach,1282.0,Dromana,10/12/2013 08:15,Tuesday,December,2013,8,15,190
99550,Dromana Beach,1282.0,Dromana,17/12/2013 07:29,Tuesday,December,2013,7,29,74
99550,Dromana Beach,1282.0,Dromana,02/01/2014 08:05,Thursday,January,2014,8,5,74
99550,Dromana Beach,1282.0,Dromana,04/02/2014 08:30,Tuesday,February,2014,8,30,10
99550,Dromana Beach,1282.0,Dromana,11/02/2014 08:05,Tuesday,February,2014,8,5,74
99550,Dromana Beach,1282.0,Dromana,18/02/2014 07:45,Tuesday,February,2014,7,45,63
99550,Dromana Beach,1282.0,Dromana,09/12/2014 07:35,Tuesday,December,2014,7,35,10
99550,Dromana Beach,1282.0,Dromana,16/12/2014 06:55,Tuesday,December,2014,6,55,10
99550,Dromana Beach,1282.0,Dromana,29/12/2014 07:20,Monday,December,2014,7,20,10
99550,Dromana Beach,1282.0,Dromana,06/01/2015 07:30,Tuesday,January,2015,7,30,20
99550,Dromana Beach,1282.0,Dromana,13/01/2015 07:20,Tuesday,January,2015,7,20,10
99550,Dromana Beach,1282.0,Dromana,03/02/2015 07:20,Tuesday,February,2015,7,20,10
99550,Dromana Beach,1282.0,Dromana,10/02/2015 07:50,Tuesday,February,2015,7,50,10
99550,Dromana Beach,1282.0,Dromana,24/02/2015 08:00,Tuesday,February,2015,8,0,20
99550,Dromana Beach,1282.0,Dromana,01/12/2015 07:30,Tuesday,December,2015,7,30,63
99550,Dromana Beach,1282.0,Dromana,08/12/2015 07:20,Tuesday,December,2015,7,20,3100
99550,Dromana Beach,1282.0,Dromana,21/12/2015 07:45,Monday,December,2015,7,45,120
99550,Dromana Beach,1282.0,Dromana,29/12/2015 07:15,Tuesday,December,2015,7,15,30
99550,Dromana Beach,1282.0,Dromana,12/01/2016 07:40,Tuesday,January,2016,7,40,20
99550,Dromana Beach,1282.0,Dromana,19/01/2016 07:20,Tuesday,January,2016,7,20,10
99550,Dromana Beach,1282.0,Dromana,27/01/2016 07:30,Wednesday,January,2016,7,30,10
99550,Dromana Beach,1282.0,Dromana,02/02/2016 07:40,Tuesday,February,2016,7,40,1600
99550,Dromana Beach,1282.0,Dromana,16/02/2016 07:40,Tuesday,February,2016,7,40,86
99550,Dromana Beach,1282.0,Dromana,23/02/2016 08:05,Tuesday,February,2016,8,5,10
99550,Dromana Beach,1282.0,Dromana,13/12/2016 07:30,Tuesday,December,2016,7,30,10
99550,Dromana Beach,1282.0,Dromana,20/12/2016 07:45,Tuesday,December,2016,7,45,10
99550,Dromana Beach,1282.0,Dromana,03/01/2017 07:30,Tuesday,January,2017,7,30,20
99550,Dromana Beach,1282.0,Dromana,10/01/2017 07:20,Tuesday,January,2017,7,20,10
99550,Dromana Beach,1282.0,Dromana,24/01/2017 07:40,Tuesday,January,2017,7,40,74
99550,Dromana Beach,1282.0,Dromana,31/01/2017 07:20,Tuesday,January,2017,7,20,31
99550,Dromana Beach,1282.0,Dromana,07/02/2017 07:20,Tuesday,February,2017,7,20,74
99550,Dromana Beach,1282.0,Dromana,14/02/2017 07:40,Tuesday,February,2017,7,40,10
99550,Dromana Beach,1282.0,Dromana,06/12/2017 06:40,Wednesday,December,2017,6,40,10
99550,Dromana Beach,1282.0,Dromana,07/12/2017 06:45,Thursday,December,2017,6,45,86
99550,Dromana Beach,1282.0,Dromana,14/12/2017 07:15,Thursday,December,2017,7,15,10
99550,Dromana Beach,1282.0,Dromana,19/12/2017 08:10,Tuesday,December,2017,8,10,20
99550,Dromana Beach,1282.0,Dromana,20/12/2017 08:15,Wednesday,December,2017,8,15,260
99550,Dromana Beach,1282.0,Dromana,21/12/2017 06:50,Thursday,December,2017,6,50,63
99550,Dromana Beach,1282.0,Dromana,27/12/2017 08:00,Wednesday,December,2017,8,0,20
99550,Dromana Beach,1282.0,Dromana,09/01/2018 07:30,Tuesday,January,2018,7,30,20
99550,Dromana Beach,1282.0,Dromana,10/01/2018 08:55,Wednesday,January,2018,8,55,20
99550,Dromana Beach,1282.0,Dromana,16/01/2018 08:10,Tuesday,January,2018,8,10,41
99550,Dromana Beach,1282.0,Dromana,17/01/2018 07:05,Wednesday,January,2018,7,5,10
99550,Dromana Beach,1282.0,Dromana,18/01/2018 07:55,Thursday,January,2018,7,55,52
99550,Dromana Beach,1282.0,Dromana,23/01/2018 07:45,Tuesday,January,2018,7,45,400
99550,Dromana Beach,1282.0,Dromana,25/01/2018 07:45,Thursday,January,2018,7,45,85
99550,Dromana Beach,1282.0,Dromana,30/01/2018 07:45,Tuesday,January,2018,7,45,220
99550,Dromana Beach,1282.0,Dromana,31/01/2018 08:15,Wednesday,January,2018,8,15,31
99550,Dromana Beach,1282.0,Dromana,01/02/2018 07:50,Thursday,February,2018,7,50,10
99550,Dromana Beach,1282.0,Dromana,06/02/2018 07:50,Tuesday,February,2018,7,50,20
99550,Dromana Beach,1282.0,Dromana,07/02/2018 07:50,Wednesday,February,2018,7,50,63
99550,Dromana Beach,1282.0,Dromana,08/02/2018 07:35,Thursday,February,2018,7,35,52
99550,Dromana Beach,1282.0,Dromana,15/02/2018 07:30,Thursday,February,2018,7,30,260
99550,Dromana Beach,1282.0,Dromana,20/02/2018 07:48,Tuesday,February,2018,7,48,10
99550,Dromana Beach,1282.0,Dromana,21/02/2018 07:05,Wednesday,February,2018,7,5,62
99550,Dromana Beach,1282.0,Dromana,22/02/2018 07:57,Thursday,February,2018,7,57,31
99550,Dromana Beach,1282.0,Dromana,01/03/2018 07:40,Thursday,March,2018,7,40,41
99550,Dromana Beach,1282.0,Dromana,06/03/2018 08:15,Tuesday,March,2018,8,15,10
99550,Dromana Beach,1282.0,Dromana,07/03/2018 07:20,Wednesday,March,2018,7,20,10
99550,Dromana Beach,1282.0,Dromana,04/12/2018 07:45,Tuesday,December,2018,7,45,31
99550,Dromana Beach,1282.0,Dromana,18/12/2018 07:40,Tuesday,December,2018,7,40,41
99550,Dromana Beach,1282.0,Dromana,27/12/2018 07:55,Thursday,December,2018,7,55,20
99550,Dromana Beach,1282.0,Dromana,02/01/2019 07:30,Wednesday,January,2019,7,30,10
99550,Dromana Beach,1282.0,Dromana,08/01/2019 08:20,Tuesday,January,2019,8,20,52
99550,Dromana Beach,1282.0,Dromana,15/01/2019 08:00,Tuesday,January,2019,8,0,10
99550,Dromana Beach,1282.0,Dromana,22/01/2019 07:25,Tuesday,January,2019,7,25,10
99550,Dromana Beach,1282.0,Dromana,05/02/2019 07:45,Tuesday,February,2019,7,45,10
99550,Dromana Beach,1282.0,Dromana,26/02/2019 07:50,Tuesday,February,2019,7,50,10
99550,Dromana Beach,1282.0,Dromana,05/03/2019 08:10,Tuesday,March,2019,8,10,10
99550,Dromana Beach,1282.0,Dromana,10/12/2019 07:10,Tuesday,December,2019,7,10,52
99550,Dromana Beach,1282.0,Dromana,30/12/2019 07:05,Monday,December,2019,7,5,380
99550,Dromana Beach,1282.0,Dromana,31/12/2019 11:35,Tuesday,December,2019,11,35,17
99550,Dromana Beach,1282.0,Dromana,07/01/2020 07:40,Tuesday,January,2020,7,40,10
99550,Dromana Beach,1282.0,Dromana,21/01/2020 07:20,Tuesday,January,2020,7,20,110
99550,Dromana Beach,1282.0,Dromana,28/01/2020 07:25,Tuesday,January,2020,7,25,10
99550,Dromana Beach,1282.0,Dromana,04/02/2020 07:35,Tuesday,February,2020,7,35,20
99550,Dromana Beach,1282.0,Dromana,11/02/2020 07:45,Tuesday,February,2020,7,45,10
99550,Dromana Beach,1282.0,Dromana,25/02/2020 08:15,Tuesday,February,2020,8,15,20
99550,Dromana Beach,1282.0,Dromana,03/03/2020 08:12,Tuesday,March,2020,8,12,31
99550,Dromana Beach,1282.0,Dromana,01/12/2020 07:40,Tuesday,December,2020,7,40,10
99550,Dromana Beach,1282.0,Dromana,08/12/2020 07:20,Tuesday,December,2020,7,20,41
99550,Dromana Beach,1282.0,Dromana,15/12/2020 07:45,Tuesday,December,2020,7,45,30
99550,Dromana Beach,1282.0,Dromana,22/12/2020 07:35,Tuesday,December,2020,7,35,860
99550,Dromana Beach,1282.0,Dromana,05/01/2021 07:40,Tuesday,January,2021,7,40,130
99550,Dromana Beach,1282.0,Dromana,12/01/2021 07:40,Tuesday,January,2021,7,40,110
99550,Dromana Beach,1282.0,Dromana,19/01/2021 07:20,Tuesday,January,2021,7,20,10
99550,Dromana Beach,1282.0,Dromana,02/02/2021 07:35,Tuesday,February,2021,7,35,20
99550,Dromana Beach,1282.0,Dromana,23/02/2021 07:45,Tuesday,February,2021,7,45,20
99550,Dromana Beach,1282.0,Dromana,02/03/2021 07:50,Tuesday,March,2021,7,50,10
99550,Dromana Beach,1282.0,Dromana,07/12/2021 07:50,Tuesday,December,2021,7,50,63
99550,Dromana Beach,1282.0,Dromana,14/12/2021 08:01,Tuesday,December,2021,8,1,10
99550,Dromana Beach,1282.0,Dromana,21/12/2021 07:50,Tuesday,December,2021,7,50,74
99550,Dromana Beach,1282.0,Dromana,04/01/2022 08:14,Tuesday,January,2022,8,14,74
99550,Dromana Beach,1282.0,Dromana,11/01/2022 07:53,Tuesday,January,2022,7,53,10
99550,Dromana Beach,1282.0,Dromana,24/01/2022 08:13,Monday,January,2022,8,13,41
99550,Dromana Beach,1282.0,Dromana,01/02/2022 08:06,Tuesday,February,2022,8,6,10
99550,Dromana Beach,1282.0,Dromana,02/11/2022 08:21,Wednesday,November,2022,8,21,240
99550,Dromana Beach,1282.0,Dromana,15/11/2022 08:16,Tuesday,November,2022,8,16,260
99550,Dromana Beach,1282.0,Dromana,22/11/2022 08:40,Tuesday,November,2022,8,40,260
99550,Dromana Beach,1282.0,Dromana,29/11/2022 08:50,Tuesday,November,2022,8,50,52
99550,Dromana Beach,1282.0,Dromana,13/12/2022 07:52,Tuesday,December,2022,7,52,190
99550,Dromana Beach,1282.0,Dromana,28/12/2022 08:05,Wednesday,December,2022,8,5,360
99550,Dromana Beach,1282.0,Dromana,03/01/2023 07:55,Tuesday,January,2023,7,55,31
99550,Dromana Beach,1282.0,Dromana,24/01/2023 08:13,Tuesday,January,2023,8,13,10
99550,Dromana Beach,1282.0,Dromana,31/01/2023 07:50,Tuesday,January,2023,7,50,190
99550,Dromana Beach,1282.0,Dromana,05/02/2023 08:55,Sunday,February,2023,8,55,20
99550,Dromana Beach,1282.0,Dromana,07/02/2023 07:55,Tuesday,February,2023,7,55,10
99550,Dromana Beach,1282.0,Dromana,28/02/2023 08:15,Tuesday,February,2023,8,15,20
99550,Dromana Beach,1282.0,Dromana,07/03/2023 08:40,Tuesday,March,2023,8,40,270
99550,Dromana Beach,1282.0,Dromana,14/03/2023 08:45,Tuesday,March,2023,8,45,10
99550,Dromana Beach,1282.0,Dromana,28/03/2023 08:36,Tuesday,March,2023,8,36,74
99550,Dromana Beach,1282.0,Dromana,18/04/2023 08:25,Tuesday,April,2023,8,25,10
99550,Dromana Beach,1282.0,Dromana,16/05/2023 08:50,Tuesday,May,2023,8,50,150
99550,Dromana Beach,1282.0,Dromana,23/05/2023 08:50,Tuesday,May,2023,8,50,52
99550,Dromana Beach,1282.0,Dromana,20/06/2023 09:20,Tuesday,June,2023,9,20,84
99550,Dromana Beach,1282.0,Dromana,27/06/2023 09:30,Tuesday,June,2023,9,30,110
99550,Dromana Beach,1282.0,Dromana,11/07/2023 09:10,Tuesday,July,2023,9,10,61
99550,Dromana Beach,1282.0,Dromana,25/07/2023 09:55,Tuesday,July,2023,9,55,41
99550,Dromana Beach,1282.0,Dromana,22/08/2023 09:15,Tuesday,August,2023,9,15,1000
99550,Dromana Beach,1282.0,Dromana,05/09/2023 08:35,Tuesday,September,2023,8,35,41
99550,Dromana Beach,1282.0,Dromana,19/09/2023 08:00,Tuesday,September,2023,8,0,10
99550,Dromana Beach,1282.0,Dromana,02/10/2023 08:50,Monday,October,2023,8,50,3700
99550,Dromana Beach,1282.0,Dromana,31/10/2023 16:40,Tuesday,October,2023,16,40,74
99550,Dromana Beach,1282.0,Dromana,14/11/2023 07:55,Tuesday,November,2023,7,55,10
99550,Dromana Beach,1282.0,Dromana,05/12/2023 07:45,Tuesday,December,2023,7,45,10
99550,Dromana Beach,1282.0,Dromana,12/12/2023 07:45,Tuesday,December,2023,7,45,31
99550,Dromana Beach,1282.0,Dromana,19/12/2023 07:55,Tuesday,December,2023,7,55,97
99550,Dromana Beach,1282.0,Dromana,09/01/2024 08:05,Tuesday,January,2024,8,5,170
99550,Dromana Beach,1282.0,Dromana,16/01/2024 08:00,Tuesday,January,2024,8,0,110
99550,Dromana Beach,1282.0,Dromana,13/02/2024 08:25,Tuesday,February,2024,8,25,10
99550,Dromana Beach,1282.0,Dromana,02/04/2024 09:10,Tuesday,April,2024,9,10,990
99550,Dromana Beach,1282.0,Dromana,30/04/2024 09:10,Tuesday,April,2024,9,10,10
99550,Dromana Beach,1282.0,Dromana,14/05/2024 08:50,Tuesday,May,2024,8,50,310
99550,Dromana Beach,1282.0,Dromana,15/05/2024,Wednesday,May,2024,0,0,20
99550,Dromana Beach,1282.0,Dromana,28/05/2024 09:10,Tuesday,May,2024,9,10,20
99550,Dromana Beach,1282.0,Dromana,11/06/2024 09:10,Tuesday,June,2024,9,10,1300
99550,Dromana Beach,1282.0,Dromana,09/07/2024 08:50,Tuesday,July,2024,8,50,280
99550,Dromana Beach,1282.0,Dromana,23/07/2024 09:20,Tuesday,July,2024,9,20,63
99550,Dromana Beach,1282.0,Dromana,20/08/2024 08:45,Tuesday,August,2024,8,45,20
99550,Dromana Beach,1282.0,Dromana,03/09/2024 08:15,Tuesday,September,2024,8,15,490
99550,Dromana Beach,1282.0,Dromana,17/09/2024 08:00,Tuesday,September,2024,8,0,150
99550,Dromana Beach,1282.0,Dromana,1/10/2024 09:05,Tuesday,October,2024,9,5,41
99550,Dromana Beach,1282.0,Dromana,15/10/2024 08:25,Tuesday,October,2024,8,25,31
99550,Dromana Beach,1282.0,Dromana,29/10/2024 08:00,Tuesday,October,2024,8,0,10
99550,Dromana Beach,1282.0,Dromana,12/11/2024 07:50,Tuesday,November,2024,7,50,31
99550,Dromana Beach,1282.0,Dromana,26/11/2024 07:58,Tuesday,November,2024,7,58,20
99550,Dromana Beach,1282.0,Dromana,3/12/2024 07:51,Tuesday,December,2024,7,51,930
99550,Dromana Beach,1282.0,Dromana,10/12/2024 07:40,Tuesday,December,2024,7,40,3700
99550,Dromana Beach,1282.0,Dromana,17/12/2024 07:20,Tuesday,December,2024,7,20,74
99550,Dromana Beach,1282.0,Dromana,02/01/2025 08:40,Thursday,January,2025,8,40,10
99550,Dromana Beach,1282.0,Dromana,07/01/2025 07:35,Tuesday,January,2025,7,35,74
99550,Dromana Beach,1282.0,Dromana,16/01/2025 07:16,Thursday,January,2025,7,16,41
99550,Dromana Beach,1282.0,Dromana,28/01/2025 07:50,Tuesday,January,2025,7,50,10
99550,Dromana Beach,1282.0,Dromana,18/02/2025 08:50,Tuesday,February,2025,8,50,20
99550,Dromana Beach,1282.0,Dromana,04/03/2025 08:15,Tuesday,March,2025,8,15,20
99550,Dromana Beach,1282.0,Dromana,25/03/2025 09:10,Tuesday,March,2025,9,10,10
99550,Dromana Beach,1282.0,Dromana,08/04/2025 08:10,Tuesday,April,2025,8,10,230
99550,Dromana Beach,1282.0,Dromana,22/04/2025 09:00,Tuesday,April,2025,9,0,86
99550,Dromana Beach,1282.0,Dromana,06/05/2025 08:45,Tuesday,May,2025,8,45,10
99550,Dromana Beach,1282.0,Dromana,20/05/2025 08:55,Tuesday,May,2025,8,55,20
99550,Dromana Beach,1282.0,Dromana,03/06/2025 09:05,Tuesday,June,2025,9,5,51
99550,Dromana Beach,1282.0,Dromana,17/06/2025 09:35,Tuesday,June,2025,9,35,130
99710,Altona Beach,,Hobsons Bay,03/12/2013 11:05,Tuesday,December,2013,11,5,20
99710,Altona Beach,,Hobsons Bay,10/12/2013 10:05,Tuesday,December,2013,10,5,96
99710,Altona Beach,,Hobsons Bay,17/12/2013 10:29,Tuesday,December,2013,10,29,20
99710,Altona Beach,,Hobsons Bay,02/01/2014 10:12,Thursday,January,2014,10,12,31
99710,Altona Beach,,Hobsons Bay,07/01/2014 09:35,Tuesday,January,2014,9,35,20
99710,Altona Beach,,Hobsons Bay,18/02/2014 10:01,Tuesday,February,2014,10,1,10
99710,Altona Beach,,Hobsons Bay,04/03/2014 10:42,Tuesday,March,2014,10,42,10
99710,Altona Beach,,Hobsons Bay,09/12/2014 11:13,Tuesday,December,2014,11,13,10
99710,Altona Beach,,Hobsons Bay,16/12/2014 11:25,Tuesday,December,2014,11,25,98
99710,Altona Beach,,Hobsons Bay,29/12/2014 09:25,Monday,December,2014,9,25,31
99710,Altona Beach,,Hobsons Bay,27/01/2015 10:40,Tuesday,January,2015,10,40,41
99710,Altona Beach,,Hobsons Bay,24/02/2015 10:53,Tuesday,February,2015,10,53,20
99710,Altona Beach,,Hobsons Bay,03/03/2015 10:30,Tuesday,March,2015,10,30,20
99710,Altona Beach,,Hobsons Bay,01/12/2015 10:20,Tuesday,December,2015,10,20,31
99710,Altona Beach,,Hobsons Bay,08/12/2015 10:20,Tuesday,December,2015,10,20,31
99710,Altona Beach,,Hobsons Bay,21/12/2015 10:25,Monday,December,2015,10,25,74
99710,Altona Beach,,Hobsons Bay,12/01/2016 10:00,Tuesday,January,2016,10,0,31
99710,Altona Beach,,Hobsons Bay,19/01/2016 10:45,Tuesday,January,2016,10,45,51
99710,Altona Beach,,Hobsons Bay,02/02/2016 10:20,Tuesday,February,2016,10,20,10
99710,Altona Beach,,Hobsons Bay,16/02/2016 11:45,Tuesday,February,2016,11,45,98
99710,Altona Beach,,Hobsons Bay,23/02/2016 11:15,Tuesday,February,2016,11,15,10
99710,Altona Beach,,Hobsons Bay,13/12/2016 10:55,Tuesday,December,2016,10,55,10
99710,Altona Beach,,Hobsons Bay,20/12/2016 10:30,Tuesday,December,2016,10,30,30
99710,Altona Beach,,Hobsons Bay,03/01/2017 10:10,Tuesday,January,2017,10,10,41
99710,Altona Beach,,Hobsons Bay,10/01/2017 10:10,Tuesday,January,2017,10,10,20
99710,Altona Beach,,Hobsons Bay,17/01/2017 11:00,Tuesday,January,2017,11,0,10
99710,Altona Beach,,Hobsons Bay,24/01/2017 10:53,Tuesday,January,2017,10,53,130
99710,Altona Beach,,Hobsons Bay,31/01/2017 10:45,Tuesday,January,2017,10,45,41
99710,Altona Beach,,Hobsons Bay,05/12/2017 10:18,Tuesday,December,2017,10,18,85
99710,Altona Beach,,Hobsons Bay,12/12/2017 10:35,Tuesday,December,2017,10,35,10
99710,Altona Beach,,Hobsons Bay,09/01/2018 09:55,Tuesday,January,2018,9,55,74
99710,Altona Beach,,Hobsons Bay,16/01/2018 09:48,Tuesday,January,2018,9,48,41
99710,Altona Beach,,Hobsons Bay,23/01/2018 10:03,Tuesday,January,2018,10,3,20
99710,Altona Beach,,Hobsons Bay,30/01/2018 11:00,Tuesday,January,2018,11,0,860
99710,Altona Beach,,Hobsons Bay,20/02/2018 10:55,Tuesday,February,2018,10,55,10
99710,Altona Beach,,Hobsons Bay,18/12/2018 10:35,Tuesday,December,2018,10,35,52
99710,Altona Beach,,Hobsons Bay,27/12/2018 10:05,Thursday,December,2018,10,5,52
99710,Altona Beach,,Hobsons Bay,08/01/2019 09:55,Tuesday,January,2019,9,55,20
99710,Altona Beach,,Hobsons Bay,15/01/2019 10:10,Tuesday,January,2019,10,10,41
99710,Altona Beach,,Hobsons Bay,29/01/2019 10:25,Tuesday,January,2019,10,25,10
99710,Altona Beach,,Hobsons Bay,19/02/2019 11:20,Tuesday,February,2019,11,20,10
99710,Altona Beach,,Hobsons Bay,26/02/2019 11:00,Tuesday,February,2019,11,0,31
99710,Altona Beach,,Hobsons Bay,07/01/2020 10:15,Tuesday,January,2020,10,15,41
99710,Altona Beach,,Hobsons Bay,14/01/2020 10:55,Tuesday,January,2020,10,55,1200
99710,Altona Beach,,Hobsons Bay,21/01/2020 11:14,Tuesday,January,2020,11,14,97
99710,Altona Beach,,Hobsons Bay,04/02/2020 11:00,Tuesday,February,2020,11,0,41
99710,Altona Beach,,Hobsons Bay,11/02/2020 10:47,Tuesday,February,2020,10,47,10
99710,Altona Beach,,Hobsons Bay,18/02/2020 10:30,Tuesday,February,2020,10,30,2800
99710,Altona Beach,,Hobsons Bay,25/02/2020 10:25,Tuesday,February,2020,10,25,41
99710,Altona Beach,,Hobsons Bay,03/03/2020 10:57,Tuesday,March,2020,10,57,10
99710,Altona Beach,,Hobsons Bay,08/12/2020 11:40,Tuesday,December,2020,11,40,41
99710,Altona Beach,,Hobsons Bay,22/12/2020 10:05,Tuesday,December,2020,10,5,260
99710,Altona Beach,,Hobsons Bay,05/01/2021 10:10,Tuesday,January,2021,10,10,97
99710,Altona Beach,,Hobsons Bay,19/01/2021 10:10,Tuesday,January,2021,10,10,41
99710,Altona Beach,,Hobsons Bay,02/02/2021 10:47,Tuesday,February,2021,10,47,10
99710,Altona Beach,,Hobsons Bay,09/02/2021 10:30,Tuesday,February,2021,10,30,20
99710,Altona Beach,,Hobsons Bay,23/02/2021 10:25,Tuesday,February,2021,10,25,10
99710,Altona Beach,,Hobsons Bay,02/03/2021 10:40,Tuesday,March,2021,10,40,20
99710,Altona Beach,,Hobsons Bay,07/12/2021 10:15,Tuesday,December,2021,10,15,300
99710,Altona Beach,,Hobsons Bay,21/12/2021 10:25,Tuesday,December,2021,10,25,52
99710,Altona Beach,,Hobsons Bay,04/01/2022 09:50,Tuesday,January,2022,9,50,10
99710,Altona Beach,,Hobsons Bay,11/01/2022 10:40,Tuesday,January,2022,10,40,10
99710,Altona Beach,,Hobsons Bay,18/01/2022 10:10,Tuesday,January,2022,10,10,10
99710,Altona Beach,,Hobsons Bay,24/01/2022 10:30,Monday,January,2022,10,30,10
99710,Altona Beach,,Hobsons Bay,01/02/2022 10:30,Tuesday,February,2022,10,30,150
99710,Altona Beach,,Hobsons Bay,27/10/2022 10:50,Thursday,October,2022,10,50,20
99710,Altona Beach,,Hobsons Bay,02/11/2022 11:50,Wednesday,November,2022,11,50,86
99710,Altona Beach,,Hobsons Bay,15/11/2022 10:35,Tuesday,November,2022,10,35,3300
99710,Altona Beach,,Hobsons Bay,17/11/2022 12:00,Thursday,November,2022,12,0,31
99710,Altona Beach,,Hobsons Bay,22/11/2022 10:40,Tuesday,November,2022,10,40,90
99710,Altona Beach,,Hobsons Bay,29/11/2022 11:45,Tuesday,November,2022,11,45,20
99710,Altona Beach,,Hobsons Bay,06/12/2022 10:55,Tuesday,December,2022,10,55,10
99710,Altona Beach,,Hobsons Bay,13/12/2022 10:45,Tuesday,December,2022,10,45,10
99710,Altona Beach,,Hobsons Bay,28/12/2022 11:05,Wednesday,December,2022,11,5,300
